date,open,close,high,low,volume,MA5,macd_line,signal_line,rsi_14,target
2022-12-12,3976.172,-0.45834996849018994,3950.32,3953.443,-0.537643194301583,-0.44853554281401264,0.8991539286953059,0.6301520046640665,0.8897536877683309,-0.004779043603846178
2022-12-13,3953.548,-0.49176804268346636,3939.98,3945.681,-0.9590644544340583,-0.4571650819081742,0.8771596863253646,0.6906497507835182,0.8874236585918351,0.002104229748995712
2022-12-14,3952.789,-0.4771242660947022,3935.767,3954.886,-1.0007329229772428,-0.46661971833339416,0.8617066469415973,0.7357532835926238,0.8692527190158444,-0.0023253484121026347
2022-12-15,3954.672,-0.49334090576468614,3926.5,3951.989,-1.1640089864089098,-0.46943448699201984,0.82577102326266,0.7641744579267087,0.9029686480408591,-0.0007642235398006569
2022-12-16,3931.232,-0.49865809580153203,3929.487,3954.227,-1.0911199604118196,-0.4845232387393176,0.7833036920236442,0.7778571532672329,1.2839426731922614,0.001539463361807325
2022-12-19,3952.771,-0.4879552540535458,3878.437,3893.221,-0.8589528470068252,-0.49046231961354847,0.749587456616617,0.7816148421341583,0.849372866041615,-0.021503476052849746
2022-12-20,3881.226,-0.6376844465899506,3811.476,3829.017,-1.2614666197009254,-0.5197344346155461,0.5890724033757047,0.7503983935102658,0.1157837024254387,-0.0070971560104121645
2022-12-21,3839.001,-0.6860394537721751,3821.404,3830.538,-1.5699571001746329,-0.5616446601668698,0.41573987106915294,0.6884698852444285,-0.5909759429843146,0.007369229839062408
2022-12-22,3859.204,-0.6361870668932091,3821.342,3836.028,-1.2511875895801292,-0.5903008574428652,0.3163917248641152,0.6177455646765467,-0.08231249155792866,-0.008701932909957133
2022-12-23,3811.616,-0.695488920252314,3805.949,3828.219,-1.5625406489351157,-0.6297868533625142,0.1849434773223905,0.5331406946030787,-0.712857233110877,0.0021991277287061184
2022-12-26,3830.568,-0.6806327369304832,3827.519,3843.489,-1.431971515135088,-0.6684396524041064,0.09180184293655987,0.4455985434694381,-1.0632671052899665,0.009086013378424296
2022-12-27,3860.905,-0.6191172894358675,3856.58,3887.854,-1.3557742131895214,-0.6647149172480589,0.06871729235735319,0.3706430827120999,-0.7978487722930919,-0.0018317766614848185
2022-12-28,3874.913,-0.6316317324113293,3854.941,3871.264,-1.239030812606966,-0.653800249438044,0.038932627575287135,0.3043284769167943,-0.6796113016674671,-0.004228875123850617
2022-12-29,3854.236,-0.6604698961370815,3838.48,3856.701,-1.3240177480140187,-0.6586715987255171,-0.00940028940886428,0.24097197639115195,-1.1312954494802223,0.004978940323289827
2022-12-30,3873.936,-0.6266603616010464,3868.757,3871.634,-1.3345196773580488,-0.644863984020641,-0.019373000632947862,0.188160544832633,-0.7954729873617779,0.0016557973614763632
2023-01-03,3864.836,-0.6153606744874193,3831.245,3887.899,-0.7215366248482166,-0.6317698337599525,-0.017984517243306842,0.14620743108129802,-0.6014167861188668,0.003059329890420903
2023-01-04,3886.25,-0.5944482661318745,3873.655,3892.948,-0.7957315848176951,-0.6268210105446808,0.00032069388529403506,0.11654770122660664,-0.562031281961459,0.017658400631044957
2023-01-05,3913.493,-0.47337291742889154,3912.26,3968.578,-0.6970278482195641,-0.5950728992410694,0.11535625505599927,0.11734606541263391,0.11722580887026035,0.006425107707789701
2023-01-06,3969.549,-0.42854105333149695,3966.47,3980.889,-0.7907928091616049,-0.5485459319013564,0.2411661066087289,0.14480803659264171,0.31152988713733637,0.005668413319221521
2023-01-09,3998.528,-0.38873497829831205,3990.707,4013.12,-0.6877004484165176,-0.5008160057554547,0.36978462801272716,0.19419971560984584,0.4107170280555315,0.0018311795162424538
2023-01-10,4014.713,-0.37580274356690163,4002.23,4017.474,-0.9462730770192472,-0.452758576187494,0.4766851179975148,0.25650476965995056,1.2737991414663332,0.003211050260553572
2023-01-11,4019.884,-0.3530840002665188,4008.015,4010.031,-0.9758969785454159,-0.4043387799299647,0.5735283446890425,0.326996265680893,1.68628521865008,-0.0032425689376684996
2023-01-12,4021.755,-0.3760994108221761,4003.508,4017.869,-1.1354892741063867,-0.38482485828847296,0.6231779058887494,0.3939749934168783,1.3927429828636666,0.010939416736471363
2023-01-13,4032.291,-0.2987043657464092,4027.886,4074.377,-1.0456120054381053,-0.3587784759166548,0.7191784724770699,0.4680257691033138,2.0360345606529635,0.02521293439463279
